column,concept,esrs,confidence,status,reason,scores,method
timestamp,metadata,,0.0,excluded_metadata,Metadata field filtered,{},
site,metadata,,0.0,excluded_metadata,Metadata field filtered,{},
elec_use_kwh,energy_consumption,E1-5,0.9525741268224334,mapped,"{'decision': 'energy_consumption', 'rule': 'energy_unit_rule', 'semantic_best': 'energy_consumption', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.27898529171943665, 'ghg_scope1': 0.14004364609718323, 'ghg_scope2': 0.21733559668064117, 'water_usage': 0.17403948307037354, 'waste': 0.23953238129615784, 'fuel_consumption': 0.2260914146900177}",rule_dominant
energy,energy_consumption,E1-5,0.9525741268224334,mapped,"{'decision': 'energy_consumption', 'rule': 'energy_unit_rule', 'semantic_best': 'energy_consumption', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.2892880439758301, 'ghg_scope1': 0.12780509889125824, 'ghg_scope2': 0.27376121282577515, 'water_usage': 0.10067394375801086, 'waste': 0.13950327038764954, 'fuel_consumption': 0.2715606391429901}",rule_dominant
CO2 Scope1,ghg_scope1,E1-6,0.9820137900379085,mapped,"{'decision': 'ghg_scope1', 'rule': 'hard_rule_scope1', 'semantic_best': 'ghg_scope2', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.10135452449321747, 'ghg_scope1': 0.20841583609580994, 'ghg_scope2': 0.2989022731781006, 'water_usage': 0.15408024191856384, 'waste': 0.19284233450889587, 'fuel_consumption': 0.1537042111158371}",rule_dominant
co2_emissions,ghg_scope2,E1-6,0.5093342065811157,mapped,"{'decision': 'ghg_scope2', 'rule': None, 'semantic_best': 'ghg_scope2', 'decision_mode': 'semantic_dominant'}","{'energy_consumption': 0.191100612282753, 'ghg_scope1': 0.36488083004951477, 'ghg_scope2': 0.5037341117858887, 'water_usage': 0.2212689220905304, 'waste': 0.2564759850502014, 'fuel_consumption': 0.3449086546897888}",semantic_dominant
water usage liters,water_usage,E3-4,0.9525741268224334,mapped,"{'decision': 'water_usage', 'rule': 'water_keyword_rule', 'semantic_best': 'water_usage', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.27937769889831543, 'ghg_scope1': 0.10542656481266022, 'ghg_scope2': 0.1629466861486435, 'water_usage': 0.6477407217025757, 'waste': 0.24497976899147034, 'fuel_consumption': 0.3118138909339905}",rule_dominant
wasteKg,waste,E5-3,0.9525741268224334,mapped,"{'decision': 'waste', 'rule': 'waste_keyword_rule', 'semantic_best': 'waste', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.11372184753417969, 'ghg_scope1': 0.08339432626962662, 'ghg_scope2': 0.12201056629419327, 'water_usage': 0.07089652121067047, 'waste': 0.4898375868797302, 'fuel_consumption': 0.1028122752904892}",rule_dominant
gas_consumption,fuel_consumption,E1-5,0.9525741268224334,mapped,"{'decision': 'fuel_consumption', 'rule': 'fuel_rule', 'semantic_best': 'fuel_consumption', 'decision_mode': 'rule_dominant'}","{'energy_consumption': 0.27571070194244385, 'ghg_scope1': 0.32110193371772766, 'ghg_scope2': 0.24840611219406128, 'water_usage': 0.304604709148407, 'waste': 0.17635202407836914, 'fuel_consumption': 0.573911726474762}",rule_dominant
production_output,waste,E5-3,0.09523498266935349,low_confidence,"{'decision': 'waste', 'rule': None, 'semantic_best': 'waste', 'decision_mode': 'semantic_dominant'}","{'energy_consumption': 0.07558216899633408, 'ghg_scope1': 0.1747158169746399, 'ghg_scope2': 0.14485010504722595, 'water_usage': 0.1110723614692688, 'waste': 0.2748672068119049, 'fuel_consumption': 0.15920940041542053}",semantic_dominant
